,in_degree,out_degree,betweenness,closeness
fornitore_1964,47.5,2.0,0.07309941520467836,4.923658940405018e-05
mangini_3,1.0,0.0,0.0,4.9233046536461636e-05
mangini_1,130055.86464722178,56.5,0.3362573099415205,4.939188487633584e-05
fornitore_1571,11040.0,1.0,0.0,1.9068117273688262e-05
mangini_2,4.0,21762.12,0.03508771929824561,0.21052631578947367
fornitore_597,8500.0,1.0,0.0,2.476561665611548e-05
fornitore_5624,0.0,1.0,0.0,4.939215914772596e-05
fornitore_3493,620.77,1.0,0.0,0.00033872814356653637
fornitore_584,1601.35,1.0,0.0,0.00013140647636818782
cliente_1,2.0,50000.839622738196,0.0,6.349173750384881e-05
cliente_6,2.0,20001.87319202246,0.0,6.349172511770063e-05
mangini_0,140052.04036237107,10.0,0.15497076023391812,3.705569876719508e-05
cliente_4,2.0,30026.422385123245,0.03508771929824561,6.349160707468207e-05
cliente_7,2.0,30001.08728804833,0.0,7.40659964228832e-05
cliente_0,2.0,30000.610207930247,0.0,7.406570218795304e-05
cliente_3,2.0,9999.853007122427,0.04678362573099415,6.34915322277638e-05
cliente_2,2.0,60000.42209304383,0.0,7.406530676664882e-05
cliente_9,2.0,0.0,0.0,6.872879998775831e-05
cliente_8,2.0,30049.584435731245,0.0,6.351417465737874e-05
cliente_5,1.0,10025.212777832907,0.0,3.866861026627845e-05
