,in_degree,out_degree,betweenness,closeness
fornitore_1964,249.5,0.0,0.0,6.071791131863142e-05
prod_045.OB.P1T,0.0,0.0,0.0,0.0
fornitore_1571,11040.0,0.0,0.0,6.980315832829658e-06
prod_017.PM001,60029.086094390615,11040.0,0.006493506493506494,6.814878181680936e-06
fornitore_597,8500.0,0.0,0.0,3.868420810574042e-06
prod_017.PM507,30000.621370145484,8500.0,0.004329004329004329,1.5151201334709232e-06
fornitore_5624,0.0,0.0,0.0,6.060480533883693e-06
prod_090.VST55,0.0,202.0,0.0,0.0
fornitore_3493,620.77,0.0,0.0,2.5617932573478227e-05
prod_090.VST33,60151.090175681136,668.27,0.021645021645021644,1.8891821129836546e-05
fornitore_584,1601.35,0.0,0.0,2.8385140946417373e-05
prod_017.PM597,0.0,1601.35,0.0,0.0
prod_052.MP.VT.POR.TR.45.04,0.0,0.0,0.0,0.0
cliente_0,0.0,30000.610207930247,0.0,0.0
prod_017.PM152,200054.22184011177,0.0,0.0,1.840410138787664e-05
cliente_6,0.0,30026.82744494258,0.0,0.0
cliente_8,0.0,30049.584435731245,0.0,0.0
cliente_5,0.0,20050.425555665814,0.0,0.0
cliente_1,0.0,40000.533677947555,0.0,0.0
cliente_7,0.0,90002.79594624214,0.0,0.0
cliente_4,0.0,60079.21268819907,0.0,0.0
cliente_2,0.0,40025.176516547916,0.0,0.0
cliente_3,0.0,9999.853007122427,0.0,0.0
