Codice_articolo,Codice_variante,Costo,Data_riferimento
017.GUI.MED.01,0,0.35,2022-03-09
017.PM001,2,1.0,2023-08-28
017.PM001,3,1.0,2023-08-28
017.PM001,4,1.0,2023-08-28
017.PM001,5,1.0,2023-08-28
017.PM001,6,1.0,2023-08-28
017.PM001,7,1.0,2023-08-28
017.PM001,8,1.0,2023-08-28
017.PM001,9,1.0,2023-08-28
017.PM001,10,1.0,2023-08-28
017.PM001,11,1.35,2022-03-09
017.PM001,12,1.0,2023-08-28
017.PM001,13,1.0,2023-08-28
017.PM001,14,1.0,2023-08-28
017.PM001,15,1.0,2023-08-28
017.PM001,16,1.0,2023-08-28
017.PM001,17,1.0,2023-08-28
017.PM001,18,1.0,2023-08-28
017.PM001,19,1.0,2023-08-28
017.PM001,20,1.0,2023-08-28
017.PM001,21,1.0,2023-08-28
017.PM001,22,1.0,2023-08-28
017.PM001,23,1.0,2023-08-28
017.PM001,25,1.35,2022-03-09
017.PM001,26,1.0,2023-08-28
017.PM001,27,1.0,2023-08-28
017.PM001,28,1.0,2023-08-28
017.PM001,29,1.0,2023-08-28
017.PM001,30,1.0,2023-08-28
017.PM001,31,1.0,2023-08-28
017.PM001,32,1.0,2023-08-28
017.PM001,33,1.0,2023-08-28
017.PM001,34,1.0,2023-08-28
017.PM001,35,1.0,2023-08-28
017.PM002.08,0,1.0,2023-08-28
017.PM002.10,0,1.0,2023-08-28
017.PM002.100,0,1.0,2023-09-13
017.PM002.15,0,1.0,2023-08-28
017.PM002.20,0,1.0,2023-08-28
017.PM002.30,0,1.0,2023-08-28
017.PM002.40,0,1.0,2023-09-13
017.PM002.50,0,1.0,2023-09-13
017.PM002.60,0,1.0,2023-09-13
017.PM002,1,1.0,2023-08-28
017.PM002,2,1.0,2023-08-28
017.PM002,4,1.0,2023-08-28
017.PM002,5,1.0,2023-08-28
017.PM002,6,1.0,2023-08-28
017.PM002,7,1.0,2023-08-28
017.PM002,8,1.35,2022-03-09
017.PM002,12,1.0,2023-08-28
017.PM002,14,1.0,2023-08-28
017.PM002,16,1.0,2023-08-28
017.PM002,17,1.0,2023-08-28
017.PM005,1,1.3,2023-08-28
017.PM005,2,1.3,2023-08-28
017.PM005,3,1.3,2023-08-28
017.PM005,4,1.3,2023-08-28
017.PM005,5,1.3,2023-08-28
017.PM005,9,1.3,2023-08-28
017.PM005,10,1.3,2023-08-28
017.PM005,13,1.3,2023-08-28
017.PM005,16,1.3,2023-08-28
017.PM005,19,1.3,2023-08-28
017.PM005,20,1.3,2023-08-28
017.PM005,21,1.3,2023-08-28
017.PM005,22,1.3,2023-08-28
017.PM005,27,1.3,2023-08-28
017.PM005,34,1.3,2023-08-28
017.PM005,35,1.3,2023-08-28
017.PM005,36,1.3,2023-08-28
017.PM005,37,1.3,2023-08-28
017.PM005,46,1.3,2023-08-28
017.PM005,47,1.3,2023-08-28
017.PM005,48,1.3,2023-08-28
017.PM005,49,1.3,2023-08-28
017.PM005,50,1.3,2023-08-28
017.PM005,56,1.3,2023-08-28
017.PM005,67,1.3,2023-08-28
017.PM005,68,1.3,2023-08-28
017.PM005,75,1.3,2023-08-28
017.PM005,77,1.3,2023-08-28
017.PM005,82,1.3,2023-08-28
017.PM005,83,1.3,2023-08-28
017.PM005,84,1.3,2023-08-28
017.PM005,86,1.3,2023-08-28
017.PM005,87,1.3,2023-08-28
017.PM005,89,1.98,2023-08-28
017.PM005,90,1.98,2023-08-28
017.PM005,97,1.3,2023-08-28
017.PM005,98,1.98,2023-08-28
017.PM005,99,1.98,2023-08-28
017.PM005,100,1.3,2023-08-28
017.PM005,101,1.3,2023-08-28
017.PM005,102,1.3,2023-08-28
017.PM006.08,1,1.3,2023-08-28
017.PM006.08,2,1.3,2023-08-28
017.PM006.08,3,1.3,2023-08-28
017.PM006.08,4,1.3,2023-08-28
017.PM006.08,5,1.98,2023-08-28
017.PM006.08,6,1.98,2023-08-28
017.PM006,1,1.3,2023-08-28
017.PM006,2,1.3,2023-08-28
017.PM006,3,1.3,2023-08-28
017.PM006,4,1.3,2023-08-28
017.PM006,6,1.3,2023-08-28
017.PM006,7,1.3,2023-08-28
017.PM006,8,1.3,2023-08-28
017.PM006,9,1.3,2023-08-28
017.PM006,10,1.3,2023-08-28
017.PM006,15,1.05,2012-05-08
017.PM006,16,1.05,2012-05-08
017.PM006,17,1.05,2012-05-08
017.PM006,18,1.3,2023-08-28
017.PM006,19,1.05,2012-05-08
017.PM006,20,1.3,2023-08-28
017.PM006,21,1.3,2023-08-28
017.PM006,22,1.3,2023-08-28
017.PM006,30,1.05,2012-05-08
017.PM006,32,1.3,2023-08-28
017.PM006,33,1.3,2023-08-28
017.PM006,35,1.3,2023-08-28
017.PM006,36,1.3,2023-08-28
017.PM006,37,1.3,2023-08-28
017.PM006,39,1.3,2023-08-28
017.PM006,40,1.3,2023-08-28
017.PM006,45,1.3,2023-08-28
017.PM006,53,1.3,2023-08-28
017.PM006,54,1.3,2023-08-28
017.PM006,56,1.3,2023-08-28
017.PM006,59,1.3,2023-08-28
017.PM006,60,1.3,2023-08-28
017.PM006,61,1.3,2023-08-28
017.PM006,62,1.3,2023-08-28
017.PM006,63,1.3,2023-08-28
017.PM006,64,1.3,2023-08-28
017.PM006,74,1.3,2023-08-28
017.PM006,75,1.3,2023-08-28
017.PM006,76,1.3,2023-08-28
017.PM006,77,1.3,2023-08-28
017.PM006,80,1.3,2023-08-28
017.PM006,92,1.3,2023-08-28
017.PM006,93,1.3,2023-08-28
017.PM006,94,1.3,2023-08-28
017.PM006,95,1.3,2023-08-28
017.PM006,96,1.3,2023-08-28
017.PM006,100,1.3,2023-08-28
017.PM006,103,1.3,2023-08-28
017.PM006,106,1.3,2023-08-28
017.PM006,108,1.3,2023-08-28
017.PM006,109,1.3,2023-08-28
017.PM006,112,1.3,2023-08-28
017.PM006,113,1.3,2023-08-28
017.PM006,114,1.3,2023-08-28
017.PM006,115,1.98,2023-08-28
017.PM006,118,1.3,2023-08-28
017.PM006,125,1.98,2023-08-28
017.PM007,0,10.85,2023-08-29
017.PM008,0,2.0,2016-04-18
017.PM009,0,3.0,2016-04-18
017.PM010,0,9.62,2023-08-29
017.PM023,0,1.04716,2013-01-18
017.PM024,0,1.04758,2013-01-18
017.PM025,0,0.41609,2013-01-18
017.PM051.18,1,7.45,2022-12-07
017.PM051.18,7,7.45,2022-12-07
017.PM051.18,8,11.78,2022-12-07
017.PM051.FF,2,6.86,2019-09-16
017.PM051.FF,3,6.86,2019-09-16
017.PM051.FF,4,6.86,2019-09-16
017.PM051.FF,5,6.86,2019-09-16
017.PM051.FF,6,6.86,2019-09-16
017.PM051.FF,7,6.86,2019-09-16
017.PM051.FF,8,6.86,2019-09-16
017.PM051.FF,9,6.86,2019-09-16
017.PM051.FF,10,6.86,2019-09-16
017.PM051.FF,11,5.26,2016-03-14
017.PM051.FF,12,5.26,2016-03-14
017.PM051.FF,14,8.78,2016-04-20
017.PM051.FF,15,6.55,2016-04-20
017.PM051.FF,20,7.74,2019-09-16
017.PM051.FF,24,7.64,2019-10-11
017.PM051.FF,26,9.83,2019-10-11
017.PM051,2,5.512,2012-05-08
017.PM051,3,5.662,2012-05-08
017.PM051,4,6.802,2012-05-08
017.PM051,6,5.722,2012-05-08
017.PM051,8,5.512,2012-05-08
017.PM051,14,5.662,2012-05-08
017.PM051,21,4.55,2012-05-08
017.PM051,22,5.63,2012-05-08
017.PM051,28,4.76,2013-01-17
017.PM051,31,4.65,2013-03-27
017.PM051,33,4.91,2013-03-27
017.PM051,34,5.799,2015-01-09
017.PM051,35,6.533,2015-01-09
017.PM051,36,5.851,2015-01-09
017.PM051,37,5.711,2015-01-09
017.PM051,43,5.309,2015-07-29
017.PM051,44,5.0,2015-12-14
017.PM051,45,5.0,2015-12-14
017.PM051,50,6.86,2019-10-14
017.PM052.18,1,13.1,2022-12-07
017.PM052.18,4,13.1,2022-12-07
017.PM052.18,5,19.32,2022-12-07
017.PM052.18,7,13.1,2022-12-07
017.PM052.18,8,13.1,2022-12-07
017.PM052.FF,2,11.83,2019-09-16
017.PM052,3,8.635,2012-05-08
017.PM052,4,8.635,2012-05-08
017.PM052,6,8.635,2012-05-08
017.PM052,7,8.635,2012-05-08
017.PM052,8,8.845,2012-05-08
017.PM052,9,8.845,2012-05-08
017.PM052,10,8.635,2012-05-08
017.PM052,14,8.499,2015-01-09
017.PM052,15,8.411,2015-01-09
017.PM052,16,9.833,2015-01-09
017.PM052,22,13.0,2022-03-09
017.PM055.H,3,44.7,2019-09-16
017.PM055.H,4,44.7,2019-09-16
017.PM055.H,7,53.0,2022-03-08
017.PM055.H,8,44.7,2019-09-16
017.PM055.H,9,44.7,2019-09-16
017.PM055.H,10,44.7,2019-09-16
017.PM055.H,11,44.7,2019-09-16
017.PM055.H,12,44.7,2019-09-16
017.PM055.H,13,44.7,2019-09-16
017.PM055.H,17,53.0,2022-03-08
017.PM055.H,21,44.7,2019-09-16
017.PM055.H,23,53.0,2022-03-08
017.PM055.H,36,30.0,2022-03-08
017.PM055.H,37,30.0,2022-03-08
017.PM055.H,38,30.0,2022-03-08
017.PM055.H,39,30.0,2022-03-08
017.PM055,5,20.88,2012-05-04
017.PM055,6,21.43421,2013-01-18
017.PM055,7,20.746,2012-05-04
017.PM055,8,21.49656,2013-01-18
017.PM055,9,13.252,2012-05-04
017.PM055,10,21.1,2012-05-04
017.PM055,16,20.12255,2015-05-18
017.PM055,20,11.806,2014-07-03
017.PM056,2,0.1848,2014-04-02
017.PM056,3,0.1848,2014-04-02
017.PM056,5,0.147,2012-05-04
017.PM056,6,0.154,2019-09-12
017.PM056,7,0.1725,2015-05-18
017.PM056,8,0.1976,2014-04-02
017.PM056,9,0.143,2012-05-04
017.PM056,10,0.21993,2012-05-04
017.PM056,11,0.17378,2012-05-04
017.PM056,12,0.24884,2012-05-04
017.PM056,13,0.14293,2012-05-04
017.PM056,14,0.132,2012-05-04
017.PM056,15,0.2233,2012-05-04
017.PM056,16,0.20992,2012-05-04
017.PM056,17,0.14999,2012-05-04
017.PM056,21,0.32099,2013-01-18
017.PM056,25,0.33,2016-05-02
017.PM056,26,0.3684,2014-04-02
017.PM056,30,0.1672,2015-08-27
017.PM056,31,0.35722,2015-12-30
017.PM056,32,0.1976,2015-01-14
017.PM056,34,0.1672,2015-08-27
017.PM056,35,0.33,2016-05-02
017.PM056,36,0.3,2015-01-09
017.PM056,37,0.33,2016-05-02
017.PM056,38,0.36,2019-10-14
017.PM056,39,0.132,2016-11-11
017.PM056,40,0.161,2016-11-11
017.PM056,42,0.3572,2015-12-21
017.PM056,44,0.3,2019-02-22
017.PM056,45,0.3,2016-03-12
017.PM056,46,0.3,2016-03-12
017.PM056,47,0.3,2016-03-12
017.PM056,48,0.3,2016-03-12
017.PM056,49,0.3,2016-03-15
017.PM056,53,0.39,2021-05-12
017.PM056,56,0.3,2016-04-20
017.PM056,57,0.3,2016-04-20
017.PM056,58,0.63,2016-04-20
017.PM056,67,1.1,2022-03-09
017.PM056,71,0.26,2021-05-11
017.PM056,77,0.63,2016-12-14
017.PM056,78,0.63,2016-12-14
017.PM056,81,0.36,2019-10-14
017.PM056,86,0.39,2021-05-11
017.PM056,87,0.84,2021-05-11
017.PM056,94,0.36,2019-10-14
017.PM056,104,0.54,2021-05-13
017.PM056,112,0.26,2021-05-11
017.PM056,116,0.54,2021-05-13
017.PM057,2,0.0598,2023-08-29
017.PM057,3,0.07017,2012-05-04
017.PM057,10,0.08008,2015-08-27
017.PM057,0,0.0598,2023-08-29
017.PM058,1,33.5916,2014-10-29
017.PM101.AL,1,180.0,2013-06-05
017.PM101.H.AL,1,220.0,2013-06-05
017.PM101.H,1,220.0,2012-05-08
017.PM101.H,2,220.0,2012-05-08
017.PM101.H,3,220.0,2012-05-08
017.PM101.H,4,220.0,2012-05-08
017.PM101.H,6,220.0,2013-06-05
017.PM101.H,15,300.0,2021-05-05
017.PM101.H,0,300.0,2021-05-05
017.PM101,3,180.0,2012-05-08
017.PM101,4,1000.0,2013-02-20
017.PM101,5,180.0,2012-05-08
017.PM101,6,180.0,2012-05-08
017.PM101,7,180.0,2012-05-08
017.PM101,8,180.0,2012-05-08
017.PM101,9,180.0,2012-05-08
017.PM101,10,180.0,2012-05-08
017.PM101,11,180.0,2012-05-08
017.PM101,12,180.0,2012-05-08
017.PM101,13,180.0,2012-05-08
017.PM101,14,180.0,2012-05-08
017.PM101,15,180.0,2012-05-08
017.PM101,16,180.0,2012-05-08
017.PM101,17,180.0,2012-05-08
017.PM101,18,180.0,2012-05-08
017.PM101,19,180.0,2012-05-08
017.PM101,20,180.0,2012-05-08
017.PM101,21,180.0,2012-05-08
017.PM101,22,180.0,2012-05-08
017.PM101,23,180.0,2012-05-08
017.PM101,24,180.0,2012-05-08
017.PM101,25,180.0,2012-05-08
017.PM101,26,180.0,2012-05-08
017.PM101,27,180.0,2012-05-08
017.PM101,28,180.0,2012-05-08
017.PM101,29,180.0,2012-05-08
017.PM101,30,180.0,2013-06-05
017.PM101,31,180.0,2012-05-08
017.PM101,32,180.0,2012-05-08
017.PM101,33,180.0,2012-05-08
017.PM101,45,250.0,2021-05-05
017.PM101,0,250.0,2021-05-05
017.PM101LM.AK,1,83.4,2012-06-06
017.PM101LM.AL,1,80.0,2013-06-05
017.PM101LM.H.AL,1,120.0,2013-06-05
017.PM101LM.H,1,120.0,2013-06-05
017.PM101LM.H,3,180.0,2015-01-09
017.PM101LM.H,4,180.0,2015-01-09
017.PM101LM.H,5,180.0,2015-01-09
017.PM101LM.H,6,180.0,2015-01-09
017.PM101LM.H,0,92.4,2012-05-25
017.PM101LM,1,80.0,2013-06-05
017.PM101LM,6,150.0,2015-01-09
017.PM101LM,7,150.0,2015-01-09
017.PM101LM,8,150.0,2015-01-09
017.PM101LM,9,150.0,2015-01-09
017.PM101LM,0,47.4,2012-05-25
017.PM102.AL,1,215.0,2013-06-05
017.PM102.H,1,193.4,2012-05-08
017.PM102.H,3,193.4,2012-07-18
017.PM102,1,180.0,2012-05-08
017.PM102,2,180.0,2012-05-08
017.PM102,3,180.0,2012-05-08
017.PM102,4,180.0,2012-05-08
017.PM102,5,180.0,2012-05-08
017.PM102,6,180.0,2012-05-08
017.PM102,7,180.0,2012-05-08
017.PM102,8,180.0,2012-05-08
