COD_CF_Fornitore,Data_documento,ID_documento,Descrizione,Codice_articolo,Codice_variante,Codice_categoria,Unita_misura,Quantita_um,Prezzo_netto_vu,importo
2521,2016-09-19,2016-BADDV-0000001,ANTA APR. DX IN CRISTALLO SATINATO 895x2040,017.PM107.001,0,10.30.40.10.20,PZ,16.0,94.0,1504.0
2521,2016-09-19,2016-BADDV-0000001,ANTA APR. SX IN CRISTALLO SATINATO 895x2040,017.PM107.003,0,10.30.40.10.20,PZ,33.0,94.0,3102.0
2521,2016-09-19,2016-BADDV-0000001,VETRO STRATIFICATO 3+3,017.PM152,3,10.30.40.10.10,MQ,31.48,23.58132,742.34
2521,2016-09-19,2016-BADDV-0000001,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,309,10.30.40.10.50,MQ,64.39,20.50008,1320.0
1964,2016-09-21,2016-BADDV-0000002,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,332,10.30.40.10.50,MQ,4.77,25.0,119.25
2597,2016-09-19,2016-BADDV-0000004,BORDO IN ABS,017.PM056,47,10.30.30.10.20,ML,600.0,0.3,180.0
2597,2016-09-19,2016-BADDV-0000004,FOGLIO LAMINATO 3050x2050 sp.1,017.PM055.H,11,10.30.30.10.30,NR,3.0,36.01333,108.04
2597,2016-09-21,2016-BADDV-0000005,LAMIERA VERNICIATA,017.PM006,10,10.30.10.10.20.10,KG,1500.0,0.99,1485.0
2597,2016-09-21,2016-BADDV-0000006,LAMIERA VERNICIATA,017.PM006,6,10.30.10.10.20.10,KG,1590.0,0.99,1574.1
2597,2016-09-21,2016-BADDV-0000007,NASTRO ACCIAIO VERNICIATO,017.PM005,3,10.30.10.10.20.05,KG,2350.0,0.95,2232.5
2597,2016-09-21,2016-BADDV-0000008,NASTRO ACCIAIO VERNICIATO,017.PM005,19,10.30.10.10.20.05,KG,150.0,0.99,148.5
2597,2016-09-21,2016-BADDV-0000009,NASTRO ACCIAIO VERNICIATO,017.PM005,3,10.30.10.10.20.05,KG,800.0,0.95,760.0
2597,2016-09-21,2016-BADDV-0000010,NASTRO ACCIAIO VERNICIATO,017.PM005,27,10.30.10.10.20.05,KG,4320.0,0.95,4104.0
2597,2016-09-21,2016-BADDV-0000011,LAMIERA VERNICIATA,017.PM006,76,10.30.10.10.20.10,KG,2600.0,0.99,2574.0
2597,2016-09-21,2016-BADDV-0000012,NASTRO ACCIAIO ZINCATO,017.PM001,29,10.30.10.10.30.05,KG,1030.0,0.62,638.6
2597,2016-09-22,2016-BADDV-0000013,NASTRO ACCIAIO ZINCATO,017.PM001,29,10.30.10.10.30.05,KG,16920.0,0.577,9762.84
2597,2016-09-20,2016-BADDV-0000015,ANTISPIFFERO/GHIGLIOTTINA PER ANTA IN LEGNO,017.PM369,0,10.30.50.10.180,PZ,96.0,8.09,776.64
2462,2016-09-19,2016-BADDV-0000016,SPUGNETTA MONOADESIVA PER GUIDA,017.PM438,0,10.30.50.10.070,ML,5000.0,0.447,2235.0
2462,2016-09-19,2016-BADDV-0000016,GUARNIZIONE ACUSTICA MONOADESIVA 15x4 mm,017.PM516,0,10.30.50.10.070,ML,5000.0,0.147,735.0
2462,2016-09-19,2016-BADDV-0000016,PIVILENE PER PROFILO PARETE MONOLASTRA,090.TP006,0,10.30.50.10.300.10,ML,1960.0,0.246,482.16
2969,2016-09-28,2016-BADDV-0000017,GUARNIZIONE PER TRAVERSO E MONTANTE,017.PM336,0,10.30.50.10.090,ML,18240.0,0.44395,8097.65
2969,2016-09-28,2016-BADDV-0000017,BTA257.GR01 GUARNIZIONE DI TENUTA ACUSTICA T.V. ALL.,017.PM468,0,10.30.50.10.090,ML,3000.0,0.405,1215.0
2463,2016-10-03,2016-BADDV-0000018,MANIGLIA PARIS HOPPE ALLUM. COMPL. DI ADATT. VETRO,017.PM405,0,10.30.50.10.010,PZ,150.0,48.2,7230.0
2463,2016-10-03,2016-BADDV-0000018,MANIGLIA PARIS HOPPE ALLUM. COMPL. DI ADATT. VETRO,017.PM405,0,10.30.50.10.010,PZ,50.0,47.0968,2354.84
584,2016-09-27,2016-BADDV-0000021,"PROFILO AD ""H"" IN POLICARBONATO L=3000 PER VETRO DA 12 mm",090.PBT12,0,10.30.50.10.300.11,PZ,70.0,12.996,909.72
584,2016-09-27,2016-BADDV-0000021,"PROFILO A ""T"" IN POLICARBONATO L=3000 PER VETRO DA 12 mm",090.PBTT.12,0,10.30.50.10.300.11,PZ,30.0,18.082,542.46
584,2016-09-27,2016-BADDV-0000021,PROFILO ANGOLO 90° IN POLICARBONATO L=3000 PER VETRO DA 12 mm,090.PBT90.12,0,10.30.50.10.300.11,PZ,40.0,14.952,598.08
584,2016-09-27,2016-BADDV-0000021,PROFILO ANGOLO 90° IN POLICARBONATO L=3000 PER VETRO DA 10 mm,090.PBT90.10,0,10.30.50.10.300.11,PZ,10.0,14.152,141.52
1964,2016-10-03,2016-BADDV-0000022,VETRO STRATIFICATO 6 MM. PER RIQU. VETRATO SAGOMATO,017.PM154,5,10.30.40.10.10,MQ,104.78,22.90513,2400.0
1964,2016-10-03,2016-BADDV-0000022,VETRO STRATIFICATO 6 MM. PER RIQU. VETRATO SAGOMATO,017.PM154,7,10.30.40.10.10,MQ,0.87,30.0,26.1
3280,2016-10-05,2016-BADDV-0000025,POMOLO FISSO PER ANTA CIECA,017.PM361,0,10.30.50.10.020,PZ,1.0,8.26,8.26
3280,2016-10-05,2016-BADDV-0000025,MANIGLIONE ANTIPANICO ELETTRICO FEB COMPLETO,017.PM368,0,10.30.50.10.010,PZ,1.0,248.24,248.24
1964,2016-09-26,2016-BADDV-0000026,VETRO STRATIFICATO OPACO 5+5,090.VSO55,19,10.30.40.10.50,MQ,1.43,45.0,64.35
1735,2016-10-03,2016-BADDV-0000027,CL6982 PROFILO A SCATTO GREZZO,091.NW2531,0,10.30.20.10.15,ML,900.0,0.36667,330.0
2597,2016-10-03,2016-BADDV-0000028,NASTRO ACCIAIO ZINCATO,017.PM001,29,10.30.10.10.30.05,KG,2985.0,0.577,1722.35
2597,2016-10-03,2016-BADDV-0000029,NASTRO ACCIAIO VERNICIATO,017.PM005,19,10.30.10.10.20.05,KG,1160.0,0.99,1148.4
2597,2016-10-06,2016-BADDV-0000030,NASTRO ACCIAIO VERNICIATO,017.PM005,3,10.30.10.10.20.05,KG,630.0,0.95,598.5
2597,2016-10-03,2016-BADDV-0000031,NASTRO ACCIAIO VERNICIATO,017.PM005,27,10.30.10.10.20.05,KG,2340.0,0.95,2223.0
2597,2016-10-03,2016-BADDV-0000032,NASTRO ACCIAIO ZINCATO,017.PM001,29,10.30.10.10.30.05,KG,1575.0,0.577,908.78
2969,2016-09-21,2016-BADDV-0000033,GUARNIZIONE PER TRAVERSO E MONTANTE,017.PM336,0,10.30.50.10.090,ML,1920.0,0.44395,852.38
1964,2016-10-03,2016-BADDV-0000034,VETRO STRATIFICATO 3+3,017.PM152,59,10.30.40.10.10,MQ,8.52,14.0,119.28
1964,2016-10-03,2016-BADDV-0000034,VETRO STRATIFICATO 3+3,017.PM152,282,10.30.40.10.10,MQ,5.59,14.0,78.26
1964,2016-10-03,2016-BADDV-0000034,ANTA CEN. VETRATA DX mm. 496x1020,028.A11AVDX,1,10.30.40.10.30,PZ,2.0,20.0,40.0
1964,2016-10-03,2016-BADDV-0000034,ANTA CEN. VETRATA SX mm. 496x1020,028.A11AVSX,1,10.30.40.10.30,PZ,2.0,20.0,40.0
1964,2016-10-03,2016-BADDV-0000034,VETRO STRATIFICATO 3+3,017.PM152,124,10.30.40.10.10,MQ,7.31,14.0,102.34
1964,2016-10-03,2016-BADDV-0000034,VETRO STRATIFICATO 3+3,017.PM152,893,10.30.40.10.10,MQ,6.0,14.0,84.0
3159,2016-10-05,2016-BADDV-0000035,LANA MINERALE SPESSORE MM 50 DENSITA 50,017.PM411,0,10.30.50.10.050,MQ,3179.52,2.3474,7463.61
520,2016-09-29,2016-BADDV-0000036,GUARNIZIONE A BAFFO,017.PM506,0,10.30.50.10.090,ML,3060.0,0.5782,1769.29
525,2016-10-07,2016-BADDV-0000037,RIVETTO ACCIAIO 3x8,017.PM318,0,10.30.50.10.030,PZ,10000.0,0.0115,115.0
2597,2016-10-06,2016-BADDV-0000038,NASTRO ACCIAIO VERNICIATO,017.PM005,2,10.30.10.10.20.05,KG,5020.0,0.96,4819.2
3348,2016-10-05,2016-BADDV-0000039,"VITE AUTOFILETTANTE TPS ZN 4,8x16",017.PM312,0,10.30.50.10.030,PZ,10000.0,0.0088,88.0
3348,2016-10-05,2016-BADDV-0000039,"VITE AUTOFILETTANTE TPS ZN 4,2x16",017.PM301,0,10.30.50.10.030,PZ,5000.0,0.0067,33.5
3011,2016-10-07,2016-BADDV-0000040,STAFFA DI COL. PROF. BASE E PARTENZA CON GRANI,091.NWSQ001,0,10.30.50.10.305,PZ,80.0,2.66,212.8
3011,2016-10-07,2016-BADDV-0000040,STAFFA DI COL. PROF. BASE E TEL. PORTA,091.NWSQ002,0,10.30.50.10.305,PZ,40.0,2.71,108.4
3011,2016-10-07,2016-BADDV-0000040,STAFFA DI COL. PROF. BASE E MOD. TECNICO,091.NWSQ010,0,10.30.50.10.305,PZ,80.0,2.63,210.4
3011,2016-10-07,2016-BADDV-0000040,STAFFA PER COMP. TELAIO PORTA CON GRANI,091.NWSQ003,0,10.30.50.10.305,PZ,80.0,2.66,212.8
3011,2016-10-07,2016-BADDV-0000040,STAFFA DI COL. ANGOLO 135°,091.NWSQ012,0,10.30.50.10.305,PZ,10.0,2.42,24.2
3011,2016-10-07,2016-BADDV-0000040,STAFFA DI COL. IN LINEA CON GRANI,091.NWSQ006,0,10.30.50.10.305,PZ,40.0,2.37,94.8
3011,2016-10-07,2016-BADDV-0000040,"STAFFA DI COL. A ""T"" CON GRANI",091.NWSQ005,0,10.30.50.10.305,PZ,40.0,3.49,139.6
3011,2016-10-07,2016-BADDV-0000040,STAFFA 90° CON GRANI,091.NWSQ004,0,10.30.50.10.305,PZ,80.0,2.37,189.6
3011,2016-10-07,2016-BADDV-0000040,STAFFA ANGOLARE SUP. PER MOD. TECNICO,091.NWSQ009,0,10.30.50.10.305,PZ,180.0,1.36,244.8
3011,2016-10-07,2016-BADDV-0000040,STAFFA ANGOLARE INF. PER MOD. TECNICO,091.NWSQ008,0,10.30.50.10.305,PZ,180.0,1.05,189.0
535,2016-10-10,2016-BADDV-0000041,VENEZIANA CON ORIENTAMENTO,017.PM425,1,10.30.50.10.110,PZ,2.0,37.45,74.9
3078,2016-10-04,2016-BADDV-0000043,TRUCIOLARE NOBILITATO IGNIFUGO 3050x2070,017.PM052.FF,2,10.30.30.10.10.30,MQ,1736.21,9.16,15903.68
3078,2016-10-04,2016-BADDV-0000043,TRUCIOLARE NOBILITATO STD 3050x2070,017.PM051.FF,4,10.30.30.10.10.30,MQ,631.35,6.13001,3870.18
1730,2016-10-06,2016-BADDV-0000044,COLLA TERMOFUSIBILE PER BORDATRICE,017.PM357,0,10.30.50.10.060,KG,50.0,5.0,250.0
