data_documento,id_documento,venduto,importo,cod_fornitore,azienda
2024-03-12,2024-BADDV-0000404,"[{'codice_articolo': '045.OB.P1T', 'codice_variante': 0, 'descrizione': ""VETROCAMERA OBLO' PER PORTA TRASPARENTE S45"", 'codice_categoria': '20.10.066', 'unita_misura': 'PZ', 'quantita_um': 4.0, 'prezzo_netto_vu': 0.0}]",0.0,1964,mangini_3
2024-03-11,2024-BADDV-0000405,"[{'codice_articolo': '045.OB.P1T', 'codice_variante': 0, 'descrizione': ""VETROCAMERA OBLO' PER PORTA TRASPARENTE S45"", 'codice_categoria': '20.10.066', 'unita_misura': 'PZ', 'quantita_um': 12.0, 'prezzo_netto_vu': 0.0}]",0.0,1964,mangini_1
2024-03-11,2024-BADDV-0000429,"[{'codice_articolo': '017.PM001', 'codice_variante': 29, 'descrizione': 'NASTRO ACCIAIO ZINCATO', 'codice_categoria': '10.30.10.10.30.05', 'unita_misura': 'KG', 'quantita_um': 12000.0, 'prezzo_netto_vu': 0.92}]",11040.0,1571,mangini_2
2024-03-12,2024-BADDV-0000435,"[{'codice_articolo': '017.PM507', 'codice_variante': 0, 'descrizione': 'CARPENTERIA METALLICA', 'codice_categoria': '10.30.50.10.190', 'unita_misura': 'NR', 'quantita_um': 1.0, 'prezzo_netto_vu': 8500.0}]",8500.0,597,mangini_2
2024-03-13,2024-BADDV-0000436,"[{'codice_articolo': '017.PM507', 'codice_variante': 0, 'descrizione': 'PROFILI DOORMATICA SCORREVOLE AUT.', 'codice_categoria': '10.30.50.10.190', 'unita_misura': 'NR', 'quantita_um': 22.0, 'prezzo_netto_vu': 0.0}]",0.0,5624,mangini_1
2024-03-15,2024-BADDV-0000439,"[{'codice_articolo': '090.VST55', 'codice_variante': 3419, 'descrizione': 'VETRO STRATIFICATO TRASPARENTE 5+5', 'codice_categoria': '10.30.40.10.50', 'unita_misura': 'MQ', 'quantita_um': 5.05, 'prezzo_netto_vu': 40.0}]",202.0,1964,mangini_1
2024-03-11,2024-BADDV-0000440,"[{'codice_articolo': '090.VST33', 'codice_variante': 790, 'descrizione': 'VETRO TRASPARENTE STRATIFICATO 3+3 F.G. ANTA INTELAIATA', 'codice_categoria': '10.30.40.10.50', 'unita_misura': 'MQ', 'quantita_um': 26.99, 'prezzo_netto_vu': 23.0}]",620.77,3493,mangini_2
2024-03-14,2024-BADDV-0000445,"[{'codice_articolo': '017.PM597', 'codice_variante': 0, 'descrizione': 'MANIGLIONE REGUITTI DENVER 25 S Q25 INOX SAT_x000D_con 23 attacchi passanti per maniglione su 2 lati', 'codice_categoria': '10.30.50.10.010', 'unita_misura': 'PZ', 'quantita_um': 46.0, 'prezzo_netto_vu': 34.81196}]",1601.35,584,mangini_2
2024-03-15,2024-BADDV-0000447,"[{'codice_articolo': '090.VST33', 'codice_variante': 791, 'descrizione': 'VETRO TRASPARENTE STRATIFICATO 3+3 F.G. ANTA INTELAIATA', 'codice_categoria': '10.30.40.10.50', 'unita_misura': 'MQ', 'quantita_um': 1.9, 'prezzo_netto_vu': 25.0}]",47.5,1964,mangini_1
2024-03-18,2024-BADDV-0000448,"[{'codice_articolo': '052.MP.VT.POR.TR.45.04', 'codice_variante': 0, 'descrizione': 'VETROCAMERA ANG. 90° TR. 904X950 SU PORTA SERIE 45', 'codice_categoria': '20.30.050', 'unita_misura': 'PZ', 'quantita_um': 1.0, 'prezzo_netto_vu': 0.0}]",0.0,1964,mangini_3
